folk_phrase,language,language_code,canonical_english,namaste_code,icd11_allopathic,clinical_category,severity,dosha_hint,alternative_phrasings
सांस नहीं आता,Hindi,hi,Breathlessness and dyspnoea,NM-S003,R06.0,Respiratory,severe,Kapha,"सांस फूलता है,सांस में तकलीफ,दम फूलता है"
दम लागतो,Marathi,mr,Breathlessness and dyspnoea,NM-S003,R06.0,Respiratory,severe,Kapha,"श्वास घेण्यास त्रास"
छाती में दर्द है,Hindi,hi,Chest pain,NM-S002,R07.9,Cardiac,critical,Pitta,"सीने में दर्द,हृदय में दर्द,सीना दर्द"
छातीत दुखते,Marathi,mr,Chest pain,NM-S002,R07.9,Cardiac,critical,Pitta,"छातीत वेदना,हृदयात दुखते"
उल्टी हो रही है,Hindi,hi,Vomiting and emesis,NM-S018,R11.1,GI,moderate,Pitta,"उल्टी,वमन,चक्कर के साथ उल्टी"
उलटी होते,Marathi,mr,Vomiting and emesis,NM-S018,R11.1,GI,moderate,Pitta,"उलटी होते,ओकारी"
दस्त लगे हैं,Hindi,hi,Diarrhoea and loose stools,NM-S006,A09,GI,moderate,Pitta,"लूज़ मोशन,पेट खराब,दस्त"
जुलाब आहेत,Marathi,mr,Diarrhoea and loose stools,NM-S006,A09,GI,moderate,Pitta,"पातळ संडास,जुलाब"
भूख नहीं लगती,Hindi,hi,Loss of appetite and anorexia,NM-S008,R63.0,GI,mild,Kapha,"खाना नहीं खाने का मन,अरुचि"
भूक लागत नाही,Marathi,mr,Loss of appetite and anorexia,NM-S008,R63.0,GI,mild,Kapha,"खाण्याची इच्छा नाही"
बहुत प्यास लगती है,Hindi,hi,Polydipsia and excessive thirst,NM-S009,R63.1,Endocrine,moderate,Pitta,"प्यास बुझती नहीं,ज़्यादा पानी पीना"
खूप तहान लागते,Marathi,mr,Polydipsia and excessive thirst,NM-S009,R63.1,Endocrine,moderate,Pitta,"तहान जास्त लागते"
जोड़ों में दर्द है,Hindi,hi,Joint pain and arthralgia,NM-S011,M79.3,Musculoskeletal,moderate,Vata,"घुटने दर्द,कमर दर्द,सांधे दर्द"
सांधेदुखी,Marathi,mr,Joint pain and arthralgia,NM-S011,M79.3,Musculoskeletal,moderate,Vata,"सांधे दुखतात,गुडघे दुखतात"
बेहोश हो जाता हूँ,Hindi,hi,Syncope and fainting,NM-S019,R55,Neurological,critical,Vata,"चेतना खो देता हूँ,मूर्छित हो जाता हूँ"
बेशुद्ध होतो,Marathi,mr,Syncope and fainting,NM-S019,R55,Neurological,critical,Vata,"बेशुद्ध होतो,शुद्ध हरपते"
